idCell,specId,TableOrder,Content,concepts,semanticTypes
25536,ce3ef5cf-3087-4d92-9d94-9eb8287228db,"Table 8","Recommendations for Voriconazole Dosage Adjustment/Comments","C0034866, C0393080, C0178602, C0376209, C0282411, C0947611, C1705247, C0456081, C0683269","Idea or Concept (idcn), Organic Chemical (orch), Quantitative Concept (qnco), Individual Behavior (inbe), Intellectual Product (inpr), Intellectual Product (inpr), Conceptual Entity (cnce), Functional Concept (ftcn), Individual Behavior (inbe)"
25582,ce3ef5cf-3087-4d92-9d94-9eb8287228db,"Table 9","Drug/Drug Class(Mechanism of Interaction by Voriconazole)","C4036061, C0456387, C1705943, C0441712, C1706376, C1704675, C0393080","Finding (fndg), Intellectual Product (inpr), Classification (clas), Functional Concept (ftcn), Manufactured Object (mnob), Functional Concept (ftcn), Organic Chemical (orch)"
25583,ce3ef5cf-3087-4d92-9d94-9eb8287228db,"Table 9","Drug Plasma Exposure(Cmax and AUC?)","C0743284, C0032105, C1550098, C2347813, C0376690","Finding (fndg), Body Substance (bdsu), Body Substance (bdsu), Quantitative Concept (qnco), Quantitative Concept (qnco)"
25584,ce3ef5cf-3087-4d92-9d94-9eb8287228db,"Table 9","Recommendations for Drug Dosage Adjustment/Comments","C0034866, C0376209, C0282411, C0947611, C1705247, C0456081, C0683269, C0870450","Idea or Concept (idcn), Individual Behavior (inbe), Intellectual Product (inpr), Intellectual Product (inpr), Conceptual Entity (cnce), Functional Concept (ftcn), Individual Behavior (inbe), Quantitative Concept (qnco)"
26179,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drug or Drug Class
                                 ","C0013227, C1254351, C0013227, C1254351, C0456387, C1705943","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Intellectual Product (inpr), Classification (clas)"
26180,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drug or Drug Class
                                 ","C0013227, C1254351, C0013227, C1254351, C0456387, C1705943","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Intellectual Product (inpr), Classification (clas)"
26181,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drug or Drug Class
                                 ","C0013227, C1254351, C0013227, C1254351, C0456387, C1705943","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Intellectual Product (inpr), Classification (clas)"
26182,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Effect
                                 ","C1280500, C2348382","Qualitative Concept (qlco), Qualitative Concept (qlco)"
26183,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may reduce TSH secretion - the reduction is not sustained; therefore, hypothyroidism does not occur
                                 ","C0013227, C3687832, C0301630, C0392756, C0441610, C1518422, C0443318, C0020676, C1518422, C1709305, C2745955, C2611225","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Natural Phenomenon or Process (npop), Qualitative Concept (qlco), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Functional Concept (ftcn), Disease or Syndrome (dsyn), Functional Concept (ftcn), Activity (acty), Temporal Concept (tmco), Cell Function (celf)"
26184,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may reduce TSH secretion - the reduction is not sustained; therefore, hypothyroidism does not occur
                                 ","C0013227, C3687832, C0301630, C0392756, C0441610, C1518422, C0443318, C0020676, C1518422, C1709305, C2745955, C2611225","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Natural Phenomenon or Process (npop), Qualitative Concept (qlco), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Functional Concept (ftcn), Disease or Syndrome (dsyn), Functional Concept (ftcn), Activity (acty), Temporal Concept (tmco), Cell Function (celf)"
26185,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may reduce TSH secretion - the reduction is not sustained; therefore, hypothyroidism does not occur
                                 ","C0013227, C3687832, C0301630, C0392756, C0441610, C1518422, C0443318, C0020676, C1518422, C1709305, C2745955, C2611225","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Natural Phenomenon or Process (npop), Qualitative Concept (qlco), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Functional Concept (ftcn), Disease or Syndrome (dsyn), Functional Concept (ftcn), Activity (acty), Temporal Concept (tmco), Cell Function (celf)"
26186,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may reduce TSH secretion - the reduction is not sustained; therefore, hypothyroidism does not occur
                                 ","C0013227, C3687832, C0301630, C0392756, C0441610, C1518422, C0443318, C0020676, C1518422, C1709305, C2745955, C2611225","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Natural Phenomenon or Process (npop), Qualitative Concept (qlco), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Functional Concept (ftcn), Disease or Syndrome (dsyn), Functional Concept (ftcn), Activity (acty), Temporal Concept (tmco), Cell Function (celf)"
26187,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide",C0013030,"Biologically Active Substance (bacs)"
26188,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide",C0013030,"Biologically Active Substance (bacs)"
26189,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide",C0013030,"Biologically Active Substance (bacs)"
26190,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Use of these agents may result in a transient reduction in TSH secretion when administered at the following doses: dopamine ( ? 1 mcg/kg/min); Glucocorticoids (hydrocortisone ? 100 mg/day or equivalent); Octreotide ( > 100 mcg/day).","C0042153, C0457083, C1947944, C0450442, C1254351, C1521826, C1274040, C1546471, C2825142, C0040704, C0205374, C0301630, C0392756, C0441610, C1521801, C0231290, C0332282, C0178602, C0013030, C2611225, C1300567, C0017710, C3540777, C3540778, C0020268, C1442061, C1442442, C1608330, C0439422, C0205163, C0439185, C0028833, C1442061, C1442442, C1608330, C0439426","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Chemical Viewed Functionally (chvf), Pharmacologic Substance (phsu), Intellectual Product (inpr), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Population Group (popg), Temporal Concept (tmco), Natural Phenomenon or Process (npop), Qualitative Concept (qlco), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Temporal Concept (tmco), Temporal Concept (tmco), Quantitative Concept (qnco), Biologically Active Substance (bacs), Cell Function (celf), Quantitative Concept (qnco), Hormone (horm), Hormone (horm), Organic Chemical (orch), Hormone (horm), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Qualitative Concept (qlco), Quantitative Concept (qnco), Amino Acid, Peptide, or Protein (aapp), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco)"
26191,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that alter thyroid hormone secretion
                                 ","C0013227, C3687832, C0392747, C1519510","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Organ or Tissue Function (ortf)"
26192,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that alter thyroid hormone secretion
                                 ","C0013227, C3687832, C0392747, C1519510","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Organ or Tissue Function (ortf)"
26193,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that alter thyroid hormone secretion
                                 ","C0013227, C3687832, C0392747, C1519510","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Organ or Tissue Function (ortf)"
26194,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that alter thyroid hormone secretion
                                 ","C0013227, C3687832, C0392747, C1519510","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Organ or Tissue Function (ortf)"
26195,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may decrease thyroid hormone secretion, which may 
                                    result in hypothyroidism
                                 ","C0013227, C3687832, C0392756, C0547047, C1519510, C1274040, C1546471, C2825142, C0020676","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Organ or Tissue Function (ortf), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Disease or Syndrome (dsyn)"
26196,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may decrease thyroid hormone secretion, which may 
                                    result in hypothyroidism
                                 ","C0013227, C3687832, C0392756, C0547047, C1519510, C1274040, C1546471, C2825142, C0020676","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Organ or Tissue Function (ortf), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Disease or Syndrome (dsyn)"
26197,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may decrease thyroid hormone secretion, which may 
                                    result in hypothyroidism
                                 ","C0013227, C3687832, C0392756, C0547047, C1519510, C1274040, C1546471, C2825142, C0020676","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Organ or Tissue Function (ortf), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Disease or Syndrome (dsyn)"
26198,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may decrease thyroid hormone secretion, which may 
                                    result in hypothyroidism
                                 ","C0013227, C3687832, C0392756, C0547047, C1519510, C1274040, C1546471, C2825142, C0020676","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Organ or Tissue Function (ortf), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Disease or Syndrome (dsyn)"
